state	amt	amtRatio	contracts	contRatio	fundingDuration	fundingDurationRatio
56	1003575.92	0.0007	9	0.0045	257	0.3138
54	2768055.04	0.0019	36	0.0179	109	0.1331
37	3631225.26	0.0025	84	0.0418	94	0.1148
50	832623.26	0.0006	10	0.005	0	0.0
35	23026020.98	0.0157	70	0.0348	102	0.1245
66	48541.98	0.0	1	0.0005	0	0.0
24	848493836.53	0.5786	1512	0.7522	150	0.1832
25	98053002.02	0.0669	486	0.2418	216	0.2637
26	30064285.78	0.0205	160	0.0796	232	0.2833
27	5534084.3	0.0038	105	0.0522	98	0.1197
20	1018936.36	0.0007	15	0.0075	73	0.0891
21	291456.72	0.0002	16	0.008	181	0.221
48	724280105.39	0.4939	729	0.3627	115	0.1404
23	3804598.25	0.0026	28	0.0139	334	0.4078
46	2036268.25	0.0014	10	0.005	819	1.0
47	193785949.99	0.1321	198	0.0985	80	0.0977
44	1947186.68	0.0013	24	0.0119	104	0.127
45	2410955.68	0.0016	31	0.0154	317	0.3871
42	28209062.31	0.0192	372	0.1851	112	0.1368
29	3640775.3	0.0025	81	0.0403	89	0.1087
40	7077157.76	0.0048	94	0.0468	65	0.0794
41	6643936.57	0.0045	61	0.0303	252	0.3077
1	183885434.92	0.1254	500	0.2488	69	0.0842
2	31030939.22	0.0212	79	0.0393	222	0.2711
5	259489.0	0.0002	1	0.0005	443	0.5409
4	78261340.94	0.0534	176	0.0876	303	0.37
6	1321684589.82	0.9013	2010	1.0	272	0.3321
9	11020862.25	0.0075	106	0.0527	97	0.1184
8	1466425648.06	1.0	654	0.3254	169	0.2063
28	13954358.03	0.0095	47	0.0234	108	0.1319
13	13239300.41	0.009	181	0.09	107	0.1306
38	974825.24	0.0007	11	0.0055	475	0.58
72	248170.34	0.0002	5	0.0025	399	0.4872
30	5560852.45	0.0038	35	0.0174	499	0.6093
11	9103097.64	0.0062	161	0.0801	213	0.2601
10	2333617.79	0.0016	15	0.0075	295	0.3602
39	57333215.04	0.0391	623	0.31	97	0.1184
12	209576548.17	0.1429	536	0.2667	100	0.1221
15	8177299.21	0.0056	47	0.0234	480	0.5861
22	8295329.8	0.0057	37	0.0184	30	0.0366
17	13196032.2	0.009	174	0.0866	131	0.16
16	1808259.09	0.0012	12	0.006	492	0.6007
55	13528473.19	0.0092	61	0.0303	277	0.3382
18	19898572.21	0.0136	74	0.0368	182	0.2222
31	1488914.24	0.001	17	0.0085	277	0.3382
49	90840355.1	0.0619	42	0.0209	186	0.2271
51	344831983.91	0.2352	1362	0.6776	57	0.0696
36	48593511.02	0.0331	315	0.1567	172	0.21
53	15932064.56	0.0109	188	0.0935	249	0.304
34	20812772.83	0.0142	141	0.0701	171	0.2088
19	3143325.44	0.0021	32	0.0159	169	0.2063
32	31698937.12	0.0216	68	0.0338	84	0.1026
33	10825758.46	0.0074	111	0.0552	189	0.2308
